Variable,Evar,Resolution,H5naming
fivekmgrid.lat,Scot-Lat,Nontemporal,lat-data-Scot-Lat
fivekmgrid.elev,Scot-DEM,Nontemporal,elev-data-Scot-DEM
onekmgrid.lcms88petfact,lcms88-pet-fact,Nontemporal,one-km-grids-old-land-properties-lcms88-pet-fact
onekmgrid.fc,fc,Nontemporal,one-km-grids-soil-properties-fc
onekmgrid.sat,sat,Nontemporal,one-km-grids-soil-properties-sat
onekmgrid.calibl,calibl,Nontemporal,one-km-grids-soil-properties-calibl
onekmgrid.calibv,calibv,Nontemporal,one-km-grids-soil-properties-calibv
onekmgrid.bfi,bfi,Nontemporal,one-km-grids-soil-properties-bfi
onekmgrid.spr,spr,Nontemporal,one-km-grids-soil-properties-spr
onekmgrid.ndep,n-dep,Annual,one-km-grids-n-deposition-n-dep-YEAR
onekmgrid.orgn.gr,or-gr,Annual,one-km-grids-organic-n-or-gr-YEAR
onekmgrid.orgn.ot,or-ot,Annual,one-km-grids-organic-n-or-ot-YEAR
onekmgrid.orgn.sp,or-sp,Annual,one-km-grids-organic-n-or-sp-YEAR
onekmgrid.orgn.wi,or-wi,Annual,one-km-grids-organic-n-or-wi-YEAR
onekmgrid.inorgn.gr,in-gr,Annual,one-km-grids-inorganic-n-in-gr-YEAR
onekmgrid.inorgn.ot,in-ot,Annual,one-km-grids-inorganic-n-in-ot-YEAR
onekmgrid.inorgn.sp,in-sp,Annual,one-km-grids-inorganic-n-in-sp-YEAR
onekmgrid.inorgn.wi,in-wi,Annual,one-km-grids-inorganic-n-in-wi-YEAR
onekmgrid.uptake.gr,up-gr,Annual,one-km-grids-n-uptake-up-gr-YEAR
onekmgrid.uptake.ot,up-ot,Annual,one-km-grids-n-uptake-up-ot-YEAR
onekmgrid.uptake.sp,up-sp,Annual,one-km-grids-n-uptake-up-sp-YEAR
onekmgrid.uptake.wi,up-wi,Annual,one-km-grids-n-uptake-up-wi-YEAR
onekmgrid.petfact,petfact,Annual,one-km-grids-iacs-pet-facts-petfact-YEAR
fivekmgrid.mon.tas,MeanTemp,Monthly,five-km-grids-meteorological-data-monthly-MeanTemp-MeanTemp-YEAR-MONTH
fivekmgrid.mon.tasmin,MinTemp,Monthly,five-km-grids-meteorological-data-monthly-MinTemp-MinTemp-YEAR-MONTH
fivekmgrid.mon.tasmax,MaxTemp,Monthly,five-km-grids-meteorological-data-monthly-MaxTemp-MaxTemp-YEAR-MONTH
fivekmgrid.mon.sun,Sunshine,Monthly,five-km-grids-meteorological-data-monthly-Sunshine-Sunshine-YEAR-MONTH
fivekmgrid.mon.sfcWind,MeanWindspeed,Monthly,five-km-grids-meteorological-data-monthly-MeanWindspeed-MeanWindspeed-YEAR-MONTH
fivekmgrid.mon.rainfall,Rainfall,Monthly,five-km-grids-meteorological-data-monthly-Rainfall-Rainfall-YEAR-MONTH
fivekmgrid.mon.pv,VapourPressure,Monthly,five-km-grids-meteorological-data-monthly-VapourPressure-VapourPressure-YEAR-MONTH
fivekmgrid.mon.hurs,RelativeHumidity,Monthly,five-km-grids-meteorological-data-monthly-RelativeHumidity-RelativeHumidity-YEAR-MONTH
fivekmgrid.mon.pet.thorn,Thorn-PET,Monthly,five-km-grids-meteorological-data-monthly-Thorn-PET-Thorn-PET-YEAR-MONTH
fivekmgrid.mon.pet.pm,PM-PET,Monthly,five-km-grids-meteorological-data-monthly-PM-PET-PM-PET-YEAR-MONTH
fivekmgrid.day.tas,mean-temp,Daily,five-km-grids-meteorological-data-daily-mean-temp-mean-temp-YEAR-mean-temp-YEAR-MONTH-DAY
fivekmgrid.day.tasmin,min-temp,Daily,five-km-grids-meteorological-data-daily-min-temp-min-temp-YEAR-min-temp-YEAR-MONTH-DAY
fivekmgrid.day.tasmax,max-temp,Daily,five-km-grids-meteorological-data-daily-max-temp-max-temp-YEAR-max-temp-YEAR-MONTH-DAY
fivekmgrid.day.rainfall,rainfall,Daily,five-km-grids-meteorological-data-daily-rainfall-rainfall-YEAR-rainfall-YEAR-MONTH-DAY
